ID,Name,,Automation_Exp,Availability,IT_Experience,,number,Email
1,Jim Halpert,,No,PT,Yes,,9874907748,jim.halpert@mohawkcollege.ca
2,Pam Beesly,,Yes,PT,Yes,,9874907748,beeslyart@gmail.com
3,Dwight Schrute,,Yes,FT,Yes,,9874907748,dwight.schrutefarms@gmail.com
4,Oscar Martinez,,No,PT,Yes,,9874907748,oscarm87@yahoo.com
5,Sanchit Mahajan,,Yes,PT,Yes,,6476786821,sanchit.mahajan@gmail.com
6,Angela Schrute,,Yes,PT,Yes,,9874907748,angelalovescats@gmail.com
7,Michael Scott,,No,PT,Yes,,9874907748,michael.scott@dundermifflin.ca
8,Jen Candles,,Yes,FT,Yes,,9874907748,jencandles8776@gmail.com
9,David Wallace,,No,PT,No,,9874907748,davidwallace@theoffice.net
10,Ryan Fire,,Yes,FT,Yes,,9874907748,ryanfine63@gmail.com
